text,emotion
Feeling excited about the trip 🎉,excited
This situation is frustrating 😣,frustrated
I feel anxious and worried 😟,anxious
What a beautiful day 🌞,happy
Heartbroken after the breakup 💔,sad
Smile :) 😊,happy
Pleading Face 🥺,sad
Rolling on the Floor Laughing 🤣,happy
Smiling Face with Heart-Eyes 😍,love
Folded Hands 🙏,calm
I love listening to thunder by Imagine Dragons 🎵,happy
Sad love songs 😢,sad
Golden ages old songs 🎻,calm
Feel like I'm about to get explosive emotions 💥,angry
So much inner healing 🌿,calm
I feel great today! 😄,happy
This makes me so angry 😠,angry
I'm devastated by the news 😢,sad
Such a peaceful evening 🌙,calm
I'm deeply in love ❤️,love
Feeling excited about the trip 🎉,excited
This situation is frustrating 😣,frustrated
I feel anxious and worried 😟,anxious
What a beautiful day 🌞,happy
Heartbroken after the breakup 💔,sad
Smile :) 😊,happy
Pleading Face 🥺,sad
Rolling on the Floor Laughing 🤣,happy
Smiling Face with Heart-Eyes 😍,love
Folded Hands 🙏,calm
I love listening to thunder by Imagine Dragons 🎵,happy
Sad love songs 😢,sad
Golden ages old songs 🎻,calm
Feel like I'm about to get explosive emotions 💥,angry
So much inner healing 🌿,calm
I feel great today! 😄,happy
This makes me so angry 😠,angry
I'm devastated by the news 😢,sad
Such a peaceful evening 🌙,calm
I'm deeply in love ❤️,love
Feeling excited about the trip 🎉,excited
This situation is frustrating 😣,frustrated
I feel anxious and worried 😟,anxious
What a beautiful day 🌞,happy
Heartbroken after the breakup 💔,sad
Smile :) 😊,happy
Pleading Face 🥺,sad
Rolling on the Floor Laughing 🤣,happy
Smiling Face with Heart-Eyes 😍,love
Folded Hands 🙏,calm
I love listening to thunder by Imagine Dragons 🎵,happy
Sad love songs 😢,sad
Golden ages old songs 🎻,calm
Feel like I'm about to get explosive emotions 💥,angry
So much inner healing 🌿,calm
I feel great today! 😄,happy
This makes me so angry 😠,angry
I'm devastated by the news 😢,sad
Such a peaceful evening 🌙,calm
I'm deeply in love ❤️,love
Feeling excited about the trip 🎉,excited
This situation is frustrating 😣,frustrated
I feel anxious and worried 😟,anxious
What a beautiful day 🌞,happy
Heartbroken after the breakup 💔,sad
Smile :) 😊,happy
Pleading Face 🥺,sad
Rolling on the Floor Laughing 🤣,happy
Smiling Face with Heart-Eyes 😍,love
Folded Hands 🙏,calm
I love listening to thunder by Imagine Dragons 🎵,happy
Sad love songs 😢,sad
Golden ages old songs 🎻,calm
Feel like I'm about to get explosive emotions 💥,angry
So much inner healing 🌿,calm
I feel great today! 😄,happy
This makes me so angry 😠,angry
I'm devastated by the news 😢,sad
Such a peaceful evening 🌙,calm
I'm deeply in love ❤️,love
Feeling excited about the trip 🎉,excited
This situation is frustrating 😣,frustrated
I feel anxious and worried 😟,anxious
What a beautiful day 🌞,happy
Heartbroken after the breakup 💔,sad
Smile :) 😊,happy
Pleading Face 🥺,sad
Rolling on the Floor Laughing 🤣,happy
Smiling Face with Heart-Eyes 😍,love
Folded Hands 🙏,calm
I love listening to thunder by Imagine Dragons 🎵,happy
Sad love songs 😢,sad
Golden ages old songs 🎻,calm
Feel like I'm about to get explosive emotions 💥,angry
So much inner healing 🌿,calm
I feel great today! 😄,happy
This makes me so angry 😠,angry
I'm devastated by the news 😢,sad
Such a peaceful evening 🌙,calm
I'm deeply in love ❤️,love
Feeling excited about the trip 🎉,excited
This situation is frustrating 😣,frustrated
I feel anxious and worried 😟,anxious
What a beautiful day 🌞,happy
Heartbroken after the breakup 💔,sad
Smile :) 😊,happy
Pleading Face 🥺,sad
Rolling on the Floor Laughing 🤣,happy
Smiling Face with Heart-Eyes 😍,love
Folded Hands 🙏,calm
I love listening to thunder by Imagine Dragons 🎵,happy
Sad love songs 😢,sad
Golden ages old songs 🎻,calm
Feel like I'm about to get explosive emotions 💥,angry
So much inner healing 🌿,calm
I feel great today! 😄,happy
This makes me so angry 😠,angry
I'm devastated by the news 😢,sad
Such a peaceful evening 🌙,calm
I'm deeply in love ❤️,love
Feeling excited about the trip 🎉,excited
This situation is frustrating 😣,frustrated
I feel anxious and worried 😟,anxious
What a beautiful day 🌞,happy
Heartbroken after the breakup 💔,sad
Smile :) 😊,happy
Pleading Face 🥺,sad
Rolling on the Floor Laughing 🤣,happy
Smiling Face with Heart-Eyes 😍,love
Folded Hands 🙏,calm
I love listening to thunder by Imagine Dragons 🎵,happy
Sad love songs 😢,sad
Golden ages old songs 🎻,calm
Feel like I'm about to get explosive emotions 💥,angry
So much inner healing 🌿,calm
happy,happy
